# BEAST v10.5.0
# Generated Sat May 23 16:56:28 CEST 2026 [seed=1779548169413]
# -window -working -options
state	joint	prior	likelihood	rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
60000	-108746.2292925548	-2036.7573465907599	-106709.47194596403	132.6591550306454	1890.938105243327	9674.765158898446	8948.385873334202	0.044924238889700874	1.0311174138403338	0.25232096987334873	0.2485781070670194	0.25034410038937166	0.2487568226702602	0.45738309261009347	1.1522177270913313E-4	1.152217727091331E-4	-106709.47194596403	0.0	-2014.0385601431296
61000	-108754.43534812734	-2056.2049542111176	-106698.23039391622	147.18853407377057	1876.408726200202	10762.764328727999	11503.023777756873	0.044924238889700874	1.0395851314965368	0.2435849498238371	0.25139093355635694	0.25034410038937166	0.2546800162304343	0.45738309261009347	1.017543467009868E-4	1.0175434670098688E-4	-106698.23039391622	0.0	-2030.812537978009
62000	-108741.82295874423	-2056.690814585573	-106685.13214415866	147.87183937665372	1875.7254208973188	10751.910151612727	13017.187806123091	0.044924238889700874	1.0164308423985629	0.24996705343910056	0.24945817422732497	0.2515302717098238	0.2490445006237507	0.45738309261009347	1.017543467009868E-4	1.0175434670098681E-4	-106685.13214415866	0.0	-2029.6698033314556
63000	-108747.77415337297	-2066.604742836616	-106681.16941053636	158.0763504791364	1865.5209097948361	11442.12446972417	13112.881102544161	0.044924238889700874	1.0012639170581814	0.24777887707603227	0.24520347451502947	0.25066576828405535	0.25635188012488286	0.47584506718092157	9.665964707885392E-5	9.665964707885378E-5	-106681.16941053636	0.0	-2039.4941478079547
64000	-108741.65557924751	-2066.291652919509	-106675.363926328	151.5978015848945	1871.999458689078	11435.901060171629	13550.262052563241	0.044924238889700874	1.0012639170581814	0.2513046919691355	0.24520347451502947	0.24689447239528703	0.25659736112054793	0.4738957751107185	9.740016412089536E-5	9.740016412089542E-5	-106675.363926328	0.0	-2038.7028425934607
65000	-108648.35780532949	-2073.5069518826117	-106574.85085344689	160.44511596184265	1863.1521443121298	11884.53736004305	15116.40729584087	0.044924238889700874	1.0178836814141579	0.24600745184962233	0.25289523448745593	0.2521917125148002	0.24890560114812144	0.4755757444265983	9.214847218575871E-5	9.21484721857588E-5	-106574.85085344689	0.0	-2044.2990147132828
66000	-108619.50853316822	-2082.8537185739983	-106536.65481459422	164.53619445377197	1859.0610658202006	12447.233265965815	18558.84583957366	0.044924238889700874	1.0178836814141579	0.2456131484372689	0.252172720172242	0.2498259738915917	0.2523881574988973	0.4696606542670072	8.88301902990889E-5	8.8830190299089E-5	-106536.65481459422	0.0	-2050.0411316215527
67000	-108598.50537173505	-2080.2441467325784	-106518.26122500247	159.3924580895138	1864.2048021844587	12433.02497097042	15216.472626261508	0.044924238889700874	1.0178836814141579	0.24311453848884276	0.2518310110602714	0.2492166202655078	0.255837830185378	0.4696606542670072	8.88301902990889E-5	8.883019029908887E-5	-106518.26122500247	0.0	-2050.972993457534
68000	-108470.89817717847	-2086.6455107686106	-106384.25266640987	166.84348368311328	1856.7537765908592	12848.023911251023	18361.207675058613	0.044924238889700874	1.0178836814141579	0.2514704978771679	0.2508398969301091	0.2517693822140375	0.2459202229786854	0.47856250535531464	8.516913713914643E-5	8.516913713914638E-5	-106384.25266640987	0.0	-2054.0717784872477
69000	-108377.93152410188	-2080.6478762389534	-106297.28364786292	152.83987151867782	1870.7573887552946	12412.833575444169	18289.849180388046	0.044924238889700874	1.0305779034839153	0.2514704978771679	0.24802313893242217	0.2473028965080732	0.2532034666823367	0.4653412542907484	8.74014486203384E-5	8.740144862033852E-5	-106297.28364786292	0.0	-2048.1503729335072
70000	-108391.37928532153	-2089.672057545581	-106301.70722777594	162.18616644644572	1861.4110938275269	12985.222874917123	17802.48887342539	0.044924238889700874	1.020083713133058	0.250363806176917	0.24802313893242217	0.24840958820832412	0.2532034666823367	0.4653412542907484	8.549761801268542E-5	8.549761801268549E-5	-106301.70722777594	0.0	-2057.7009901000956
71000	-108384.56252201834	-2088.4886661724913	-106296.07385584585	163.95445087132904	1859.6428094026435	12962.416064961335	18266.308075240762	0.044924238889700874	1.0088860436172362	0.24442750791657003	0.24620455638607286	0.25102855530791773	0.25833938038943927	0.4797203266971725	8.460321221128169E-5	8.460321221128167E-5	-106296.07385584585	0.0	-2056.021324998681
72000	-108372.12945142388	-2083.627057112048	-106288.50239431183	155.59536121003495	1868.0018990639376	12498.09695305021	13893.832560307606	0.044924238889700874	1.0088860436172362	0.24409586393834204	0.24763939944275856	0.2570101754502005	0.25125456116869876	0.46001391786916	8.804077585728593E-5	8.804077585728608E-5	-106288.50239431183	0.0	-2055.8031110038055
73000	-108357.51814216036	-2078.6179968502483	-106278.90014531011	149.00399667212446	1874.593263601848	12544.735674210757	15517.45459307997	0.044924238889700874	1.0088860436172362	0.24287535870799176	0.2521567775918416	0.248978026997602	0.25598983670256453	0.46001391786916	8.77323501157935E-5	8.773235011579366E-5	-106278.90014531011	0.0	-2049.0633988306226
74000	-108361.25743577883	-2082.783858936797	-106278.47357684202	152.55519551957966	1871.0420647543929	12850.942270247653	18436.346663432676	0.044924238889700874	0.9848426184607013	0.24511358853962661	0.25164832515917496	0.248978026997602	0.2542600593035963	0.45521383032717455	8.575329442887599E-5	8.575329442887603E-5	-106278.47357684202	0.0	-2050.1784510918187
75000	-108353.95179620985	-2090.821773817096	-106263.13002239275	159.1229508372772	1864.4743094366954	13399.2212062511	20488.366079895026	0.044924238889700874	0.9932675902618185	0.2469332685915422	0.253599938278933	0.24894764907058095	0.2505191440589437	0.4674754766166858	8.037898428370608E-5	8.037898428370604E-5	-106263.13002239275	0.0	-2056.109634578704
